o,oPrefLabel,oDefinition,oAltLabels,oBT,oNT,oRT
http://dbpedia.org/resource/Category:Buildings_and_structures_in_Niger,Buildings and structures in Niger,,,Niger,,
http://dbpedia.org/resource/Category:Countries_in_Africa,Countries in Africa,,,,,
http://dbpedia.org/resource/Category:Economy_of_Niger,Economy of Niger,,,Niger,,
http://dbpedia.org/resource/Category:Environment_of_Niger,Environment of Niger,,,Niger,,
http://dbpedia.org/resource/Category:Geography_of_Niger,Geography of Niger,,,Niger,,
http://dbpedia.org/resource/Category:Government_of_Niger,Government of Niger,,,Niger,,
http://dbpedia.org/resource/Category:History_of_Niger,History of Niger,,,Niger,,
http://dbpedia.org/resource/Category:Landlocked_countries,Landlocked countries,,,,,
http://dbpedia.org/resource/Category:Military_of_Niger,Military of Niger,,,Niger,,
http://dbpedia.org/resource/Category:Niger,Niger,,,Countries in Africa| Landlocked countries| West African countries| Wikipedia categories named after countries| States and territories established in 1960| Republics,,
http://dbpedia.org/resource/Category:Niger-related_lists,Niger-related lists,,,Niger,,
http://dbpedia.org/resource/Category:Nigerien_law,Nigerien law,,,Politics of Niger| Niger,,
http://dbpedia.org/resource/Category:Nigerien_people,Nigerien people,,,Niger,,
http://dbpedia.org/resource/Category:Nigerien_society,Nigerien society,,,Niger,,
http://dbpedia.org/resource/Category:Politics_of_Niger,Politics of Niger,,,Niger,,
http://dbpedia.org/resource/Category:Republics,Republics,,,,,
http://dbpedia.org/resource/Category:States_and_territories_established_in_1960,States and territories established in 1960,,,,,
http://dbpedia.org/resource/Category:Tourist_attractions_in_Niger,Tourist attractions in Niger,,,Niger,,
http://dbpedia.org/resource/Category:West_African_countries,West African countries,,,,,
http://dbpedia.org/resource/Category:Wikipedia_categories_named_after_countries,Wikipedia categories named after countries,,,,,
